timestamp,event,seq,retries,rtt_ms,note
1780678550.182497,SUCCESS,0,0,0.0,
1780678550.182497,SUCCESS,1,0,2.315,
1780678550.1848116,SUCCESS,2,0,0.0,
1780678550.1848116,SUCCESS,3,0,0.0,
1780678550.1848116,SUCCESS,4,0,0.0,
1780678550.1848116,SUCCESS,5,0,0.0,
1780678550.1848116,SUCCESS,6,0,0.0,
1780678550.1848116,SUCCESS,7,0,0.0,
1780678550.1848116,TIMEOUT,8,1,,timeout deneme 1
1780678550.6874282,SUCCESS,8,1,0.0,
1780678550.6874282,SUCCESS,9,0,0.0,
1780678550.6894917,SUCCESS,10,0,0.0,
1780678550.6894917,SUCCESS,11,0,0.0,
1780678550.6894917,SUCCESS,12,0,0.0,
1780678550.6894917,SUCCESS,13,0,0.0,
1780678550.6894917,SUCCESS,14,0,0.0,
1780678550.6894917,TIMEOUT,15,1,,timeout deneme 1
1780678551.2040205,SUCCESS,15,1,0.546,
1780678551.2050817,SUCCESS,16,0,0.0,
1780678551.2061615,SUCCESS,17,0,0.0,
1780678551.2061615,SUCCESS,18,0,0.0,
1780678551.2061615,SUCCESS,19,0,0.0,
1780678551.2061615,SUCCESS,20,0,0.0,
1780678551.2061615,SUCCESS,21,0,0.0,
1780678551.2061615,TIMEOUT,22,1,,timeout deneme 1
1780678551.714004,SUCCESS,22,1,0.896,
1780678551.7149005,SUCCESS,23,0,0.515,
1780678551.715415,SUCCESS,24,0,0.0,
1780678551.715415,SUCCESS,25,0,0.0,
1780678551.715415,SUCCESS,26,0,0.0,
1780678551.715415,SUCCESS,27,0,0.0,
1780678551.715415,SUCCESS,28,0,0.0,
1780678551.715415,SUCCESS,29,0,0.0,
1780678551.715415,SUCCESS,30,0,0.0,
1780678551.715415,SUCCESS,31,0,0.0,
1780678551.715415,SUCCESS,32,0,0.0,
1780678551.715415,SUCCESS,33,0,0.0,
1780678551.715415,SUCCESS,34,0,0.0,
1780678551.715415,SUCCESS,35,0,0.0,
1780678551.715415,SUCCESS,36,0,7.095,
1780678551.7225099,SUCCESS,37,0,0.0,
1780678551.7225099,SUCCESS,38,0,0.0,
1780678551.7225099,SUCCESS,39,0,0.0,
1780678551.7225099,SUCCESS,40,0,0.0,
1780678551.7225099,SUCCESS,41,0,0.0,
1780678551.7225099,SUCCESS,42,0,0.0,
1780678551.7225099,SUCCESS,43,0,0.0,
1780678551.7225099,SUCCESS,44,0,5.194,
1780678551.7277036,SUCCESS,45,0,0.0,
1780678551.7277036,SUCCESS,46,0,2.024,
1780678551.7307477,SUCCESS,47,0,0.0,
1780678551.7307477,SUCCESS,48,0,0.0,
